indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio
1536	Dhund - The Fog	560	1598	2003-02-21	2003	2000	Disaster	1	2.5	0.77	1.055	7.875	2.426	3.323	0.0	1.0
1537	Vadh	644	1599	2002-03-29	2002	2000	Disaster	1	3.75	0.75	1.13	12.188	2.438	3.672	0.0	1.0
1538	Arjun Devaa	2007	1600	2001-11-23	2001	2000	Disaster	1	1.25	0.345	0.645	4.262	1.176	2.199	0.0	1.0
1539	Miss 420	2609	1601	1998-01-23	1998	1995	Disaster	1	1.25	0.358	0.54	5.112	1.464	2.209	0.0	1.0
1540	Ansh	1980	1602	2002-04-12	2002	2000	Disaster	1	1.75	0.52	0.78	5.688	1.69	2.535	0.0	1.0
1541	Kis Kis Ki Kismet	1790	1603	2004-10-22	2004	2000	Disaster	1	3.75	1.33	1.695	11.362	4.03	5.136	0.0	1.0
1542	Aaj Ka Ravan	727	1604	2000-09-29	2000	2000	Disaster	1	1.25	0.425	0.603	4.412	1.5	2.129	0.0	1.0
1543	Yeh Zindagi Ka Safar	700	1605	2001-11-16	2001	2000	Disaster	1	2.75	0.615	0.828	9.378	2.097	2.823	0.0	1.0
1544	Barsaat Ki Raat	2589	1606	1998-03-13	1998	1995	Disaster	1	1.25	0.415	0.568	5.112	1.697	2.323	0.0	1.0
1545	Issaq	1377	1607	2013-07-26	2013	2010	Disaster	1	25.0	3.81	3.945	37.75	5.753	5.957	0.0	1.0
1546	Maqbool	1187	1608	2004-01-30	2004	2000	Disaster	1	3.25	0.67	2.0	9.848	2.03	6.06	0.0	1.0
1547	Raincoat	475	1609	2004-12-24	2004	2000	Disaster	1	5.0	1.59	2.54	15.15	4.818	7.696	0.0	1.0
1548	Rang Rasiya	2378	1610	2014-11-07	2014	2010	Disaster	1	15.0	3.98	4.76	20.7	5.492	6.569	0.0	1.0
1549	Escape From Taliban	556	1611	2003-02-14	2003	2000	Disaster	1	3.5	0.52	0.895	11.025	1.638	2.819	0.0	1.0
1550	Dil Ne Phir Yaad Kiya	694	1612	2001-09-07	2001	2000	Disaster	1	3.0	0.52	0.705	10.23	1.773	2.404	0.0	1.0
1551	Jaago	1181	1613	2004-02-06	2004	2000	Disaster	1	4.0	0.94	1.263	12.12	2.848	3.827	0.0	1.0
1552	Sonchiriya	5609	1615	2019-03-01	2019	2015	Disaster	1	28.0	5.39	5.632999999999999	30.8	5.929	6.196	0.0	1.0
1553	Prassthanam	5712	1615	2019-09-20	2019	2015	Disaster	1	39.0	4.75	5.51	42.9	5.225	6.061	0.0	1.0
1554	Fox	166	1616	2009-09-04	2009	2005	Disaster	1	20.0	2.52	2.865	45.0	5.67	6.446	0.0	1.0
1555	Dulha Mil Gaya	119	1617	2010-01-08	2010	2010	Disaster	1	22.0	2.96	3.085	42.9	5.772	6.016	0.0	1.0
1556	Jashnn	1094	1618	2009-07-17	2009	2005	Disaster	1	7.25	2.69	2.835	16.312	6.052	6.379	0.0	1.0
1557	Main Madhuri Dixit Banna Chahti Hoon	564	1619	2003-10-10	2003	2000	Disaster	1	2.5	0.965	1.463	7.875	3.04	4.608	0.0	1.0
1558	Rush	1165	1620	2012-10-26	2012	2010	Disaster	1	18.0	3.21	3.335	30.24	5.393	5.603	0.0	1.0
1559	Yeh Kaisi Mohabbat	1952	1621	2002-09-13	2002	2000	Disaster	1	1.25	0.61	0.82	4.062	1.982	2.665	0.0	1.0
1560	Bandit Lovers	2713	1622	1997-01-17	1997	1995	Disaster	1	0.75	0.223	0.365	3.262	0.97	1.588	0.0	1.0
1561	Soch	649	1623	2002-08-23	2002	2000	Disaster	1	2.5	0.7	0.84	8.125	2.275	2.73	0.0	1.0
1562	Meri Adalat	2001	1624	2001-12-14	2001	2000	Disaster	1	1.25	0.325	0.58	4.262	1.108	1.978	0.0	1.0
1563	Toonpur Ka Superrhero	132	1625	2010-12-24	2010	2010	Disaster	1	25.0	2.33	3.568	48.75	4.544	6.958	0.0	1.0
1564	Kaaboo	1245	1626	2002-10-04	2002	2000	Disaster	1	1.25	0.33	0.608	4.062	1.072	1.976	0.0	1.0
