film	id	rank	release_date	verdict	budget	first_week	tot_net_gross
Baghban	510	202	3-Oct-03	Hit	100000000	53900000	206500000
Andaaz	514	203	23-May-03	Hit	92500000	69700000	159350000
Luka Chuppi	5608	204	1-Mar-19	Hit	340000000	531000000	885150000
Badla	5611	205	8-Mar-19	Hit	370000000	377800000	875700000
Chalte Chalte	515	206	13-Jun-03	Hit	110000000	82300000	194400000
Munnabhai M.B.B.S.	511	207	19-Dec-03	Hit	100000000	60800000	231300000
New York	142	208	26-Jun-09	Hit	280000000	273600000	453925000
Humpty Sharma Ki Dulhania	2279	209	11-Jul-14	Hit	330000000	506600000	728050000
Veere Di Wedding	3777	210	1-Jun-18	Hit	420000000	544600000	802700000
Golmaal - Fun Unlimited	299	211	14-Jul-06	Hit	150000000	128900000	293250000
Satyameva Jayate	3816	212	15-Aug-18	Hit	450000000	593500000	796100000
Batla House	5700	213	15-Aug-19	Hit	560000000	544200000	849950000
Mere Brother Ki Dulhan	32	214	9-Sep-11	Hit	320000000	362000000	574050000
Raanjhanaa	1287	215	21-Jun-13	Hit	360000000	350100000	616300000
Masti	457	216	9-Apr-04	Hit	120000000	91300000	202800000
Kapoor & Sons	3246	217	18-Mar-16	Hit	380000000	447700000	693750000
Pati Patni Aur Woh	5739	218	13-Dec-19	Hit	430000000	513500000	804100000
Andhadhun	3942	219	5-Oct-18	Hit	320000000	273700000	733700000
Dhadak	3793	220	20-Jul-18	Hit	410000000	513100000	723900000
Kahaani	6	221	9-Mar-12	Hit	200000000	237900000	578125000
Tere Mere Sapne	2732	222	6-Dec-96	Hit	30000000	14350000	77050000
Heropanti	2249	223	23-May-14	Hit	250000000	348600000	505150000
Neerja	3224	224	19-Feb-16	Hit	280000000	352900000	717650000
Pink	3381	225	16-Sep-16	Hit	290000000	355100000	655250000
Ravan Raaj	2961	226	23-Jun-95	Hit	25000000	22025000	52200000
Hulchul	459	227	26-Nov-04	Hit	100000000	83200000	202900000
Saathiya	601	228	20-Dec-02	Hit	75000000	37800000	152550000
Mary Kom	2298	229	5-Sep-14	Hit	380000000	453300000	614300000
Delhi Belly	34	230	1-Jul-11	Hit	230000000	347400000	548375000
I Hate Luv Storys	87	231	2-Jul-10	Hit	230000000	317800000	434675000
Ragini MMS 2	2210	232	21-Mar-14	Hit	190000000	369400000	465650000
Salaam Namaste	395	233	9-Sep-05	Hit	110000000	114900000	261950000
Ishaqzaade	72	234	11-May-12	Hit	190000000	256100000	463850000
Queen	2199	235	7-Mar-14	Hit	230000000	185400000	614750000
Jab We Met	248	236	26-Oct-07	Hit	150000000	118000000	310600000
Bhoot	519	237	30-May-03	Hit	67500000	64300000	144850000
Hindi Medium	3526	238	19-May-17	Hit	230000000	232500000	630650000
Hum Tum	456	239	28-May-04	Hit	85000000	74900000	216350000
Article 15	5678	240	28-Jun-19	Hit	300000000	340800000	652500000
Kyaa Super Kool Hain Hum	290	241	27-Jul-12	Hit	190000000	324800000	420350000
Masoom	2797	242	24-May-96	Hit	17500000	15100000	57375000
Hate Story 3	3155	243	4-Dec-15	Hit	200000000	347700000	435750000
Shuddh Desi Romance	1441	244	6-Sep-13	Hit	250000000	362700000	462600000
Badlapur	2666	245	20-Feb-15	Hit	290000000	359600000	496200000
Tanu Weds Manu	48	246	25-Feb-11	Hit	210000000	188000000	385225000
Kis Kisko Pyaar Karoon	3037	247	25-Sep-15	Hit	160000000	368000000	421200000
Chasme Baddoor	576	248	5-Apr-13	Hit	200000000	302600000	421600000
Vicky Donor	9	249	20-Apr-12	Hit	100000000	141700000	410000000
Hichki	3742	250	23-Mar-18	Hit	200000000	261100000	461900000
Kyaa Kool Hai Hum	403	251	6-May-05	Hit	50000000	53200000	153400000
Peepli [Live]	83	252	13-Aug-10	Hit	140000000	210900000	292875000
Jism	524	253	17-Jan-03	Hit	32500000	33700000	81400000
Fareb	2788	254	28-Jun-96	Hit	12500000	9475000	36925000
Haunted 3D	52	255	6-May-11	Hit	130000000	145800000	263900000
Jolly LLB	990	256	15-Mar-13	Hit	135000000	183100000	303200000
Phoonk	197	257	22-Aug-08	Hit	45000000	66400000	98000000
Ek Chhotisi Love Story	622	258	6-Sep-02	Hit	15000000	17300000	48350000
A Wednesday!	336	259	6-Sep-08	Hit	30000000	35250000	117250000
Bheja Fry	360	260	13-Apr-07	Hit	15000000	24050000	89800000
Bharat	5671	261	5-Jun-19	Semi Hit	2400000000	1567100000	1973450000
Dilwale	3194	262	18-Dec-15	Semi Hit	1650000000	953700000	1399750000
Bang Bang	2319	263	2-Oct-14	Semi Hit	1600000000	1079400000	1410650000
Taal	2388	264	13-Aug-99	Semi Hit	150000000	50600000	214950000
Jai Ho	2101	265	24-Jan-14	Semi Hit	1020000000	834800000	1093550000
Raees	3460	266	25-Jan-17	Semi Hit	1270000000	1020000000	1287750000
Chori Chori Chupke Chupke	662	267	9-Mar-01	Semi Hit	130000000	65000000	183450000
Race 2	1223	268	25-Jan-13	Semi Hit	940000000	695800000	934850000
Major Saab	2556	269	26-Jun-98	Semi Hit	87500000	45800000	131000000
Yeshwant	2705	270	7-Feb-97	Semi Hit	57500000	35900000	104850000
Talaash	1197	271	30-Nov-12	Semi Hit	710000000	651100000	912350000
Welcome Back	2987	272	4-Sep-15	Semi Hit	1080000000	737000000	959250000
Gabbar Is Back	2860	273	1-May-15	Semi Hit	790000000	596100000	868550000
Kabhi Alvida Na Kehna	364	274	11-Aug-06	Semi Hit	480000000	277900000	444050000
Fiza	721	275	8-Sep-00	Semi Hit	55000000	62500000	146700000
Diljale	2756	276	27-Sep-96	Semi Hit	55000000	35200000	90900000
Jab Pyaar Kisise Hota Hai	2568	277	22-May-98	Semi Hit	65000000	28500000	117100000
Tees Maar Khan	76	278	24-Dec-10	Semi Hit	450000000	487500000	605725000
Jodhaa Akbar	186	279	15-Feb-08	Semi Hit	550000000	218300000	560400000
Vaastav	2364	280	15-Oct-99	Semi Hit	75000000	39400000	114200000
Namastey London	224	281	23-Mar-07	Semi Hit	310000000	156900000	372900000
Jaanwar	2264	282	24-Dec-99	Semi Hit	62500000	39500000	106450000
Khuddar	3158	283	25-Mar-94	Semi Hit	19500000	18375000	45050000
Gunday	2149	284	14-Feb-14	Semi Hit	510000000	580500000	732800000
Ta Ra Rum Pum	341	285	27-Apr-07	Semi Hit	300000000	180500000	384450000
Rockstar	31	286	11-Nov-11	Semi Hit	660000000	483500000	686150000
Mr. & Mrs. Khiladi	2641	287	10-Oct-97	Semi Hit	57500000	33700000	93650000
Hogi Pyar Ki Jeet	2424	288	7-May-99	Semi Hit	60000000	31400000	100650000
De De Pyaar De	5651	289	17-May-19	Semi Hit	780000000	557300000	945000000
Dhamaal	239	290	7-Sep-07	Semi Hit	190000000	136500000	325125000
Loafer	2795	291	7-Jun-96	Semi Hit	40000000	29500000	71475000
Ghulam-E-Musthafa	2634	292	31-Oct-97	Semi Hit	55000000	35400000	88075000
Maine Pyaar Kyun Kiya?	393	293	15-Jul-05	Semi Hit	150000000	115600000	256850000
Anari No.1	2431	294	9-Apr-99	Semi Hit	67500000	38950000	102350000
Bhai	2633	295	31-Oct-97	Semi Hit	47500000	33500000	84000000
Student Of The Year	1155	296	19-Oct-12	Semi Hit	590000000	430700000	629400000
Special 26	1237	297	8-Feb-13	Semi Hit	500000000	387000000	654750000
Saajan Ka Ghar	3141	298	29-Apr-94	Semi Hit	17500000	11675000	37625000
Shootout At Lokhandwala	225	299	25-May-07	Semi Hit	180000000	167200000	297250000
Sarkar	396	300	1-Jul-05	Semi Hit	140000000	115700000	248350000
Anth	3110	301	10-Jun-94	Semi Hit	16500000	15925000	39275000
Sui Dhaaga - Made In India	3918	302	28-Sep-18	Semi Hit	480000000	606200000	761000000
Cheetah	3105	303	24-Jun-94	Semi Hit	18500000	13525000	36100000
Tere Naam	517	304	15-Aug-03	Semi Hit	100000000	77400000	145300000
Dear Zindagi	3430	305	25-Nov-16	Semi Hit	460000000	460200000	664675000
Gopi Kishen	3055	306	2-Dec-94	Semi Hit	21500000	21425000	48125000
Bachna Ae Haseeno	323	307	15-Aug-08	Semi Hit	230000000	200700000	361900000
Main Tera Hero	2219	308	4-Apr-14	Semi Hit	410000000	372100000	531750000
Parmanu - The Story Of Pokhran	3772	309	25-May-18	Semi Hit	440000000	350800000	648150000
36 China Town	267	310	5-May-06	Semi Hit	190000000	119300000	230500000
Jallaad	2935	311	15-Sep-95	Semi Hit	27500000	22975000	46925000
Jannat 2	19	312	4-May-12	Semi Hit	200000000	341200000	429800000
Kabhi Haan Kabhi Naa	3169	313	25-Feb-94	Semi Hit	14000000	9625000	38750000
Ki & Ka	3259	314	1-Apr-16	Semi Hit	350000000	372800000	516800000
Salaami	3161	315	18-Mar-94	Semi Hit	11000000	7275000	28000000
Raaz - The Mystery Continues	150	316	23-Jan-09	Semi Hit	180000000	195800000	254950000
Jism 2	770	317	2-Aug-12	Semi Hit	130000000	288400000	351900000
Apaharan	274	318	2-Dec-05	Semi Hit	110000000	89000000	156600000
102 Not Out	3759	319	4-May-18	Semi Hit	350000000	276300000	517775000
Shapath	2623	320	12-Dec-97	Semi Hit	27500000	21150000	49500000
Yaariyan	2067	321	10-Jan-14	Semi Hit	210000000	277400000	384550000
Tujhe Meri Kasam	539	322	3-Jan-03	Semi Hit	35000000	10850000	89250000
Paa	148	323	4-Dec-09	Semi Hit	210000000	160700000	313375000
Kai Po Che	1250	324	22-Feb-13	Semi Hit	300000000	243700000	435800000
Hungama	518	325	1-Aug-03	Semi Hit	60000000	44450000	126050000
Taxi Number 9 2 11	374	326	24-Feb-06	Semi Hit	100000000	86200000	195850000
ABCD - Any Body Can Dance	1238	327	8-Feb-13	Semi Hit	270000000	260400000	393400000
Bluffmaster	283	328	16-Dec-05	Semi Hit	100000000	85600000	182800000
Sirf Tum	2417	329	4-Jun-99	Semi Hit	30000000	13550000	58475000
English Vinglish	1144	330	5-Oct-12	Semi Hit	260000000	194200000	389200000
Mardaani 2	5741	331	13-Dec-19	Semi Hit	270000000	279200000	463300000
Wake Up Sid	157	332	2-Oct-09	Semi Hit	180000000	156800000	279450000
Shubh Mangal Saavdhan	3591	333	1-Sep-17	Semi Hit	250000000	236900000	419850000
Fukrey	1284	334	14-Jun-13	Semi Hit	190000000	178100000	348650000
Mere Yaar Ki Shaadi Hai	616	335	7-Jun-02	Semi Hit	57500000	30400000	83400000
No One Killed Jessica	44	336	7-Jan-11	Semi Hit	190000000	193800000	291250000
Mardaani	2296	337	22-Aug-14	Semi Hit	210000000	229400000	358300000
Chandaal	2590	338	13-Mar-98	Semi Hit	20000000	17800000	35825000
Ishqiya	97	339	29-Jan-10	Semi Hit	190000000	140100000	221075000
Ferrari Ki Sawaari	179	340	15-Jun-12	Semi Hit	200000000	199400000	305250000
Apna Sapna Money Money	275	341	10-Nov-06	Semi Hit	95000000	88300000	144000000
Gangster - A Love Story	362	342	28-Apr-06	Semi Hit	65000000	58200000	126700000
Julie	467	343	23-Jul-04	Semi Hit	55000000	50300000	91650000
Talvar	3058	344	2-Oct-15	Semi Hit	170000000	155000000	303625000
NH 10	2748	345	13-Mar-15	Semi Hit	180000000	203100000	315325000
Style	683	346	28-Dec-01	Semi Hit	25000000	18100000	53550000
Cheeni Kum	347	347	25-May-07	Semi Hit	110000000	67500000	173000000
1920 - Evil Returns	1173	348	2-Nov-12	Semi Hit	90000000	163000000	205375000
Dum Laga Ke Haisha	2718	349	27-Feb-15	Semi Hit	140000000	106300000	302625000
Ab Tak Chhappan	440	350	27-Feb-04	Semi Hit	45000000	37600000	86775000
Aastha	2715	351	3-Jan-97	Semi Hit	15000000	3825000	31600000
