	indx	film	id	rank	release_date	release_year	five_yr	verdict	verdict_rank	budget	first_week	tot_net_gross	budget_adjust	first_week_adjust	tot_net_gross_adjust	success_flop	profit_ratio	footfalls	screens	runtime	release_week	holiday_release	multiple_releases	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story	production_banner_exp	production_banner_hits	actors_exp	actors_hits	directors_exp	directors_hits	producers_exp	producers_hits	music_exp	music_hits	lyrics_exp	lyrics_hits	screenplay_exp	screenplay_hits	dialogue_exp	dialogue_hits	story_exp	story_hits	directors_awards	actors_awards	music_awards	lyrics_awards	screenplay_awards	dialogue_awards	story_awards
386	386	Hera Pheri	714	394	2000-03-31	2000	2000	Average	4	7.5	3.76	12.355	26.475	13.273	43.613	1	2	8265000	210	138	13	0	0	Comedy	0	Base Industries Group	Akshay Kumar|Suneil Shetty|Tabu|Paresh Rawal	Priyadarshan	A.G. Nadiadwala	Anu Malik|Lalit Sen|Bally Sagoo	Sameer	Anand Vardhan	none	none	2.0	0.0	80.0	11.0	4.0	1.0	1.0	0.0	57.0	11.0	106.0	21.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
387	387	Hum Tumhare Hain Sanam	596	395	2002-05-24	2002	2000	Average	4	12.0	6.84	13.52	39.0	22.23	43.94	0	2	8132000	300	172	20	0	0	Love Story	0	BMB Productions	Salman Khan|Shahrukh Khan|Madhuri Dixit|Atul Agnihotri	K.S. Adhiyaman	K.C. Bokadia	Nikhil-Vinay|Bali Brahmbhatt|Sajid Wajid|Nadeem-Shravan|Bappi Lahiri	none	none	none	none	4.0	0.0	44.0	14.0	0.0	0.0	2.0	0.0	38.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
388	388	Manikarnika - The Queen Of Jhansi	5572	396	2019-01-25	2019	2015	Average	4	99.0	56.56	90.81	108.9	62.216	99.891	0	1	6827000	2900	148	3	1	1	Drama	0	Kairos Kontent|Zee Studios	Kangana Ranaut|Jishu Sengupta|Suresh Oberoi|Danny Denzongpa	Kangana Ranaut|Krish	Kamal Jain	Shankar-Ehsaan-Loy	Prasoon Joshi	V. Vijayendra Prasad	Prasoon Joshi	none	7.0	1.0	13.0	2.0	1.0	0.0	0.0	0.0	10.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
389	389	Dostana	320	397	2008-11-14	2008	2005	Average	4	40.0	26.74	44.38	98.4	65.78	109.175	0	2	8090000	1000	145	45	0	2	Rom - Com	0	Dharma Productions Pvt. Ltd.	Abhishek Bachchan|John Abraham|Priyanka Chopra|Kirron Kher	Tarun Mansukhani	Karan Johar	Vishal-Shekhar	Anvita Dutt	Anvita Dutt|Tarun Mansukhani	Tarun Mansukhani	none	3.0	1.0	54.0	12.0	0.0	0.0	2.0	1.0	25.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
390	390	Zamane Se Kya Darna	3189	398	1994-01-14	1994	1995	Average	4	2.4	1.8730000000000002	4.063	13.847999999999999	10.807	23.444000000000003	1	2	7991000	170	168	2	0	0	Masala	0	Raaj N Raaj Combines	Sanjay Dutt|Raveena Tandon|Shakti Kapoor|Gulshan Grover	Bobby Raaj	Bobby Raaj	Anand-Milind	Sameer	Rajeev Kaul|Praful Parekh	Shyam Goel	none	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
391	391	Hadh Kar Di Aapne	439	399	2000-04-14	2000	2000	Average	4	8.0	3.88	11.31	28.24	13.696	39.924	1	2	7982000	205	134	15	0	1	Comedy	0	R.R. Productions	Govinda|Rani Mukherjee|Nirmal Pandey|Ritu Shivpuri	Manoj Agrawal	Rajeev Anand|Rakesh Malhotra	Anand Raj Anand	Anand Bakshi	Satish Jain	Rajeev Kaul	none	0.0	0.0	40.0	10.0	1.0	0.0	0.0	0.0	14.0	2.0	42.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
392	392	Kurukshetra	749	400	2000-11-10	2000	2000	Average	4	8.75	4.39	11.15	30.888	15.497	39.36	1	2	7969000	260	134	45	0	1	Action	0	Time Magnetics Pvt. Ltd.	Sanjay Dutt|Mahima Chaudhary|Om Puri|Shivaji Satam	Mahesh Manjrekar	Pravin Shah	Himesh Reshammiya	Dev Kohli|Madan Pal|Sudhakar Sharma	Mahesh Manjrekar	none	none	3.0	0.0	26.0	5.0	1.0	0.0	0.0	0.0	3.0	2.0	70.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
393	393	Andolan	3016	401	1995-03-03	1995	1995	Average	4	3.75	3.195	6.053	19.762	16.838	31.899	1	2	7915000	240	159	9	1	3	Action	0	Nadiadwala Grandson Entertainment	Sanjay Dutt|Govinda|Mamta Kulkarni|Somy Ali	Aziz Sejawal	Sajid Nadiadwala	Nadeem-Shravan	Sameer	Anees Bazmee	Anees Bazmee	Anees Bazmee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
394	394	Bichhoo	733	402	2000-07-07	2000	2000	Average	4	7.5	5.27	10.69	26.475	18.602999999999998	37.736	1	2	7805000	300	169	27	0	0	Thriller	0	Bhagwan Chitra Mandir	Bobby Deol|Rani Mukherjee|Farida Jalal|Ashish Vidyarthi	Guddu Dhanoa	Guddu Dhanoa	Anand Raj Anand	Sameer	Santosh Danoa	Dilip Shukla	Dilip Shukla	0.0	0.0	23.0	10.0	5.0	1.0	3.0	0.0	14.0	2.0	106.0	21.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
395	395	Company	600	403	2002-04-12	2002	2000	Average	4	9.5	6.01	13.825	30.875	19.532	44.931000000000004	1	2	7629000	295	155	14	0	1	Action	0	Ram Gopal Varma Productions|Vyjayanthi Movies	Ajay Devgn|Mohanlal|Manisha Koirala|Vivek Oberoi	Ram Gopal Verma	Ram Gopal Verma|C. Ashwini Dutt|Boney Kapoor	Sandeep Chowta	Nitin Raikwar|Jaideep Sahni	none	none	none	5.0	1.0	37.0	6.0	5.0	1.0	11.0	2.0	4.0	0.0	13.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
