indx	film	id	screens	runtime	genre	sequel_remake	production_banner	actors	directors	producers	music	lyrics	screenplay	dialogue	story
1253	Insaaf Apne Lahoo Se	3162	100	139	Action	0	S.M. Films Pvt. Ltd.	Shatrughan Sinha|Sanjay Dutt|Shekhar Suman|Farha	Latif Khan	Arun Kumar Muchala|L.R. Shaikh	Laxmikant-Pyarelal	Dev Kohli|Sameer|Hassan Kamal	none	none	none
1254	1947 Earth	2372	95	102	Drama	0	Friends India	Aamir Khan|Nandita Das|Rahul Khanna|Maia Sethna	Deepa Mehta	Deepa Mehta|Anne Masson	A.R. Rahman	Javed Akhtar	Deepa Mehta	Deepa Mehta	none
1255	Bombay Velvet	2865	2550	151	Drama	0	Fox Star Studio India Pvt. Ltd.|Phantom Films	Ranbir Kapoor|Anushka Sharma|Karan Johar|Satyadeep Mishra	Anurag Kashyap	Vikas Bahl|Vikramaditya Motwane	Amit Trivedi	Amitabh Bhattacharya	Thani|Vasan Bala	none	none
1256	Raabta	3549	1800	147	Romance	0	Maddock Films|T-Series	Sushant Singh Rajput|Kriti Sanon|Jim Sarbh|Varun Sharma	Dinesh Vijan	Bhushan Kumar|Krishan Kumar|Homi Adajania|Dinesh Vijan	Pritam	Amitabh Bhattacharya	none	none	none
1257	Tezz	20	1950	141	Thriller	0	Eros International|United Seven Entertainment Ltd.	Anil Kapoor|Ajay Devgn|Kangana Ranaut|Zayed Khan	Priyadarshan	Ratan Jain	Sajid Wajid	Shabbir Ahmed|Jalees Sherwani	Robin Bhatt|Aditya Dhar	none	none
1258	Happy Ending	2410	1650	136	Romance	0	Eros International|Illuminati Films	Saif Ali Khan|Ileana D'Cruz|Govinda|Kalki Koechlin	Raj Nidimoru|Krishna D.K	Dinesh Vijan|Saif Ali Khan|Sunil Lulla	Sachin-Jigar	Amitabh Bhattacharya	none	none	none
1259	Karzzzz	195	900	143	Drama	0	T-Series	Himesh Reshammiya|Urmila Matondkar|Shweta Kumar|Dino Morea	Satish Kaushik	Bhushan Kumar|Krishan Kumar	Himesh Reshammiya	Sameer	none	Shiraz Ahmed	Shiraz Ahmed
1260	Shamitabh	2615	1600	153	Drama	0	Eros International|Hope Productions Pvt. Ltd.	Amitabh Bachchan|Dhanush|Akshara Hassan|Ajay Jadhav	R. Balki	Abhishek Bachchan|Rakesh Jhunjhunwala|Gauri Shinde|R.K. Damani|Sunil Lulla	Ilaiyaraja	none	none	none	none
1261	Rangoon	3471	2100	167	Drama	0	Nadiadwala Grandson Entertainment|Viacom 18 Motion Pictures|Vishal Bhardwaj Pictures	Kangana Ranaut|Shahid Kapoor|Saif Ali Khan|Richard McCabe	Vishal Bhardwaj	Sajid Nadiadwala|Vishal Bhardwaj	Vishal Bhardwaj	Gulzar	Vishal Bhardwaj|Matthew Robbins	none	none
1262	Aakrosh	107	1200	114	Thriller	1	Big Screen Entertainer|Eros International|Zee Motion Pictures	Ajay Devgn|Akshaye Khanna|Bipasha Basu|Amita Pathak	Priyadarshan	Kumar Mangat	Pritam	Irshad Kamil	Robin Bhatt|Akash Khurana	Robin Bhatt	none
1263	Koi Mere Dil Se Poochhe	642	180	146	Drama	0	S.K. Films Enterprises	Jaya Bachchan|Sanjay Kapoor|Aftab Shivdasani|Esha Deol	Vinay Shukla	Boney Kapoor	Rajesh Roshan	Dev Kohli|Ibrahim Ashik|Suryabhanu Gupt	Vinay Shukla	none	none
1264	Mr. X	2850	2100	134	Other	0	Fox Star Studio India Pvt. Ltd.|Vishesh Films Pvt. Ltd.	Emraan Hashmi|Amyra Dastur|Arunoday Singh|S.M. Zaheer	Vikram Bhatt	Mukesh Bhatt	Jeet Ganguly|Ankur Tewari|Ankit Tiwari	Mohnish Raza|Abhay Upadhyay	none	none	none
1265	Kismat	477	300	149	Action	1	Time Magnetics Pvt. Ltd.	Bobby Deol|Priyanka Chopra|Kabir Bedi|Sanjay Narvekar	Guddu Dhanoa	Pravin Shah|Hasmukh Shah|Dhirajlal Shah	Anand Raj Anand	Dev Kohli	Sutanu Gupta	none	none
1266	Pyaar Ishq Aur Mohabbat	689	225	153	Romance	0	Trimurti Films Pvt. Ltd.	Suneil Shetty|Aftab Shivdasani|Arjun Rampal|Kirti Reddy	Rajiv Rai	Gulshan Rai	Viju Shah	Anand Bakshi	Rajiv Rai	Shabbir Boxwala|Rajiv Rai	none
1267	Mohabbat Ki Arzoo	3136	80	149	Romance	0	Devyank Arts	Rishi Kapoor|Zeba Bakhtiar|Ashwini Bhave|Mukesh Khanna	K.C. Bokadia	Dilip Kankaria	Laxmikant-Pyarelal	Rani Malik|Kulwant Jani|Hasrat Jaipuri|Taabhish Romani	none	none	none
1268	Badhaai Ho Badhaai	1252	170	156	Drama	1	Anas Films Pvt. Ltd.|Kapoor & Kaushik Entertainment Pvt. Ltd.	Anil Kapoor|Shilpa Shetty|Kirti Reddy|Kader Khan	Satish Kaushik	Anil Kapoor|Satish Kaushik|Mansoor Ahmad Siddiqui	Anu Malik	Javed Akhtar	Satish Kaushik	none	none
1269	Zubeidaa	685	70	153	Drama	0	F.K.R. Productions	Karisma Kapoor|Rekha|Manoj Bajpai|Rajit Kapoor	Shyam Benegal	Farouq Rattonsey	A.R. Rahman	Javed Akhtar	Khalid Mohamed	Khalid Mohamed	Javed Siddique
1270	Lakeer	473	350	169	Action	0	Vicky Films Pvt. Ltd.	Sunny Deol|Suneil Shetty|Sohail Khan|John Abraham	Ahmed Khan	Vivek Kumar	A.R. Rahman	Mehboob	Ahmed Khan	Ahmed Khan|Shadab Khan	none
1271	Rakht	486	325	150	Thriller	0	Cine Blitz Productions|Popcorn Motion Pictures Pvt. Ltd.	Sanjay Dutt|Suneil Shetty|Bipasha Basu|Dino Morea	Mahesh Manjrekar	Suneil Shetty	Anand-Milind|Anand Raj Anand|Naresh Sharma|Shamir Tandon|Naresh Sharma	none	none	none	none
1272	Tera Mera Saath Rahen	693	175	149	Drama	0	Ratan International	Ajay Devgn|Sonali Bendre|Namrata Shirodkar|Prem Chopra	Mahesh Manjrekar	N.R. Pachisia	Anand Raj Anand	Sameer	Mahesh Manjrekar	Mahesh Manjrekar	Deepak Kulkarni
